id,title,problem,idea,impact,agree,disagree
12,"新增捷運","在新竹常常有公車問題，若新增捷運航線可能可以解決","解運從竹北到新竹火車站可以作為一個路線","減少交通問題",2,0
7,"公車啟動停止提醒","新竹公車作為許多民眾的交通選擇之一，尤其是老年人及小孩，然而每次搭車的體感在啟動及減速時都是又急又危險。","仿照日本公車駕駛，在每一次的啟動或減速前，都會通過車上廣播系統簡短的提醒民眾注意。","搭乘公車的安全性及舒適性可以提升，避免跌倒推擠意外發生率",12,9
19,"來解決新竹大塞車難題吧！","只要一到上下班尖峰時間，新竹便無處不塞。","1. 增生更多像先導公車這些路線方便的公車，尤其是尖峰時段加開，減少上不去公車而只好自己開車／騎車通勤的動機。 2. 定期舉辦公車相關活動，例如：在公車內設立集點站，集滿點數即可抽獎獲得超商禮券等等。讓大家更願意去搭乘大眾運輸工具。 3. 建設捷運，幫助交通分流。","減少尖峰時段塞車情況，並增加民眾使用大眾運輸工具的意願。",1,0
13,"解決新竹上下班尖峰壅塞的「隊列釋放與速度協調」方案","新竹在上下班尖峰常出現「交通震盪波」：前車延遲起步 1 秒，後車反應時間與加減速疊加，形成 n+1 的遞延，導致綠燈也無法有效釋放車流。加上匯入瓶頸、號誌未協調、臨停占道與左轉干擾等因素，使幹道與園區周邊路口長時間壅塞、通行效率低落。","以「政府統一協調車流」為概念，導入智慧化與低成本並行的組合拳： 1. 智慧號誌與綠波帶：導入自適應號誌（ASCT），依即時流量調整相位與綠時，串接幹道綠波。 2. 隊列式釋放：在紅燈期間完成排隊偵測，綠燈一到以「統一起步指令」與建議目標速度協調起步（車聯網 RSU/APP 或路口起步倒數+聲光提示），減少起步落差。 3. 速度協調/可變速限：於幹道前段以可變速限與提示牌抑制急煞、縮小車距波動，消除震盪波源頭。 4. 節流匯入（Ramp Metering）：在匯入/匝道口以簡易號誌節流，避免主線被瞬間擠爆。 5. 公車優先與接駁：公車號誌優先（PTPS）＋園區接駁增班，提升載客效率。 6. 低成本快做：設置起步倒數燈、地面「跟車距離線」、黃線嚴禁臨停與路口箱形禁停格；左轉分離相位或移設待轉區。 7. 中長期配套：C-ITS 示範路廊（V2I 訊息推播「建議起步時距/速度」）、企業彈性上班、共乘與 P&R。 宣傳以趣味「貢丸車隊」作比喻：統一速度、同時起步＝更快更順，提升民眾理解與參與度。","KPI（一年內示範路廊）： 1. 尖峰平均旅行時間 -15%～-25% 2. 路口綠燈通行車數 +10%～+20% 3. 急減速/煞停事件 -30%（由感測或車隊數據估算） 4. 公車準點率 +15% 社會影響： 降低碳排與噪音、提升通勤可預測性與園區競爭力，減少因壅塞造成的時間成本與事故風險，改善周邊居民生活品質。同時以「貢丸車隊」的趣味宣導強化參與與遵從，推動交通文化從「各開各的」轉為「協同前進」。",3,3
15,"新竹市區的街友問題","平常放學去火車站旁邊常常有一大群街友在那躺著或者抽煙，還有隨地大小便","找個集會所安置這些街友，協助融入社會，或者送去醫療救治","能夠減少路邊街友的數量，晚上走路不會那麼可怕，新竹市區也會比較美觀",0,0
9,"新竹吉祥物","台南都有虱目魚吉祥物魚頭君，幫助縣市宣傳。我認為新竹除卻美食沙漠外，應該也要有能提升市知名度的吉祥物。","設計與貢丸、風相關的吉祥物，並籌辦一系列相關活動打響名氣。","讓新竹被大家看見。",5,2
14,"減輕父母負擔","目前政府推行0-6歲國家一起幫你養，讓有小孩的父母親每月可領到相關補助，但國小之後並無每月相關補助，目前大多雙薪家庭，小孩放學大多送安親班待下班後再去接，安親班每月費用也是不少，讓父母親擔憂花費。","建議政府補助安親班費用","提升生育率及降低少子化影響，這是刻不容緩要立刻去做的事，0-6歲部分已經開個頭了，6歲以後也要繼續做下去，讓父母親擔憂的事情能依依減輕，這社會能給予養育小孩家庭更多支援，讓他們能放心生育，然後安心養育，進而降低少子化對社會影響。",2,1
18,"交通暢行","公車班次太少","希望可以增加新竹公車的班次","交通可以更方便",1,0
10,"智慧城市民眾參與","雖然新竹市推動智慧城市，但許多民眾不清楚有哪些服務或參與方式，容易形成政策落差。","推出「市民APP」整合交通、租屋、活動、投訴反映等功能。 定期舉辦「市民黑客松」或「政策協作會議」，讓民眾直接參與討論。 增加雙語化與無障礙數位服務，讓更多市民能方便使用。","市民知悉政府推行之政策，便民又深刻",7,7
20,"禮讓行人","車子都不讓行人","人情壓力","減少交通事故發生率",1,0
8,"Gogoro換電焦慮","Gogoro換電站供應在某些區域不足，卻也無從向廠商反應，然而推行go share作為大眾交通工具是需要補足這方面基礎建設。","希望市府能協助民眾向廠商溝通協作，共同找尋可設換電站的場所。","大家騎到飽飽電的gogoro，耶比",10,7
17,"新竹市停車難題與交通壅塞","在多個 FB 社團中，常見有人抱怨某些商圈、住宅區、學校周邊停車難；或主幹道上下班尖峰塞車嚴重、斷點多、交通號誌調度不佳、機車與汽車互衝、行人道與自行車道配置不合理等。這類貼文往往能引起很多共鳴與回覆。","規劃立體停車場或地下停車庫（尤其在密集區域） 加強公共交通覆蓋率與班次，鼓勵通勤族搭乘大眾運輸 限制外縣市到新竹市內高乘載管制或者只能搭乘大眾運輸工具，避免塞車，又能減碳。","實現「交通友善」的新竹市，讓市民出行順暢、停車便利、步行與騎乘也安全舒適。交通壅塞減少、排放污染下降、居民日常壓力降低。 提升生活品質：減少通勤時間、降低能源浪費 降低空氣污染與溫室氣體排放",0,0
16,"新竹Ubike2.0的增加需求","在新竹，交通首要選擇是腳踏車，因為公車真的太差了，但是卻面臨到腳踏車不足的問題，","多新增站點，派車速度加快","可以讓交通更便利",1,0
39,"新增客語版 標示、宣導、廣播內容","新竹是客家人口比例最多的城市，高達三分之二，若是在重要的議題，已經公眾場合，可以加強使用客語的契機，會有助於城市居民的幸福程度。 例如：新竹的詐騙案件層出不窮，從新竹科學園區的工程師，到尚未成年的學子，都深受其害，若是在設立安全宣導相關的活動時，可以新增客語版本，能夠促進客語母語者的訊息接收，也讓在地居民習慣使用客語，從日常生活中延續語言。","拍攝「客語」版反詐騙宣導影片，並且逐步地，在公眾場合、觀光景點標示、交通語音廣播、博物館介紹 等等 新增客語版本。 向市政府募資，並號召「客語」流利母語者，以及學生社團（清大或交大甚至全台大學）一起完成此項工程，並且研究此項議題。","期望未來有一天，可以在新竹各個所在，聽到客語的使用。現在公車到站廣播已經有客語的聲音，未來在宣導影音作品，觀光旅遊介紹，深度導覽，皆可聽到客語的聲音。",2,0
21,"新竹熱點難停車","在新竹一些熱門景點，常常因為人潮眾多，停車位難以尋找，許多遊客也擔心臨時亂停車會被拖吊，反而影響出遊心情。","1.做整合新竹停車網頁或是APP 2.熱門景點周圍停車場路邊停車顯示 3.整合住家閒置車位臨時出租 4.停車所在有什麼熱門景點或小吃","讓大家出遊有好心情 不必為停車煩惱",1,0
24,"新竹市宜居永續商圈再生","新竹市曾有許多代表性的繁華地標──中興百貨、大成街、晶品城，以及正改造中的東門市場──這些地方曾是居民生活的核心。然而隨著商業模式轉變與都市發展，街區逐漸沒落，呈現空曠與冷清的狀態。 現況問題包含： 店面空間老舊，缺乏設計美感與舒適性。 缺少具有吸引力的公共空間，難以讓人停留。 在地文化價值未被充分轉譯，導致商圈特色不足。 年輕族群與新興產業未被有效吸引，難以形成活絡的城市循環。","室內設計導向 改造商圈建築與內部空間，導入現代化、永續與人本的設計語言。 增設舒適的休憩座椅、綠植配置、燈光氛圍，提升逛街體驗。 採用環保建材、低碳設計，實踐宜居永續的核心理念。 文創產業導向 將在地文化元素（如新竹風、地方故事、傳統工藝）轉化為可體驗的空間設計或裝置藝術。 舉辦主題市集、藝術展覽、青年創業攤位，讓商圈成為創意交流的平台。 打造「文化識別系統」（Cultural Branding），賦予每條街區鮮明的特色與故事。","重塑街區魅力：讓商圈重新成為新竹居民日常交流與休閒的舞台。 宜居永續示範：以設計與文創結合，推動低碳、環保、文化共融的街區更新。 培養城市文化名片：塑造新竹專屬的生活文化意象，提升城市辨識度。 吸引青年與創業能量：讓商圈不僅是消費場域，更是新創、設計與文創品牌的孵化基地。 居民面向：獲得更舒適、安全、具文化氛圍的生活環境，提升生活品質。 商業面向：透過設計提升空間價值，透過文創導入新業態，吸引人潮回流。 文化面向：延續並再詮釋新竹的在地故事，讓城市記憶被看見、被體驗。 永續面向：以環保設計和文化驅動並行，為城市打造兼顧美感、環境與產業發展的長期模式。",23,20
37,"改善前往竹北的交通","新竹市區與竹北之間的交通狀況十分嚴峻。上下班尖峰時段經常大塞車，造成通勤時間過長；公車班次雖然存在，但因交通壅塞導致經常誤點，缺乏可靠性；此外，部分路段缺乏完善的人行道與自行車道，讓步行或騎乘自行車的市民面臨安全風險，整體公共交通使用意願也因此降低。","規劃並興建捷運系統，串聯新竹市與竹北，提供快速、穩定、準時的大眾運輸選擇。同時可搭配公車路線整合，形成完整的轉乘網絡，並在沿線增設人行道、自行車道，打造更安全便利的交通環境。","透過捷運建設，可有效紓解尖峰時段的交通壅塞，縮短通勤時間，提升居民生活品質。同時促進新竹與竹北的區域整合，帶動經濟與產業發展。更重要的是，安全且可靠的大眾運輸能夠減少私人交通工具的使用，降低碳排放，推動永續城市的發展，讓新竹成為更適合居住與工作的宜居城市。",3,2
29,"新竹景點","新竹常被說是美食沙漠，並且因為沒有特殊景點所以很少觀光客會選擇新竹旅遊，也就沒有平反的機會，所以應該要有屬於新竹的景點並且推廣新竹食物","新增旅遊打卡景點並舉辦美食節等活動","希望觀光客可以變多，並且改善美食沙漠的稱號",0,0
26,"市容更新交通無礙","市榮街景老舊，道路狹小","整修市榮，招牌整頓，道路拓寬","讓市容煥然一新、符合科技城市",1,0
34,"新竹遊樂園建造計畫(迪士尼或環球影城)","每當討論到新竹的景點，都是古蹟以及巨城，為了要增加新竹的觀光客，同時讓竹科工程師在工作之餘有其他地方可以休閒娛樂， 想要創造一個專屬於一個新竹的新地標，一個結合科技及設施的遊樂園，讓大人小孩都可以到此處體驗新竹。","於新竹設置主題樂園，理想上是讓迪士尼或者是環球影城來到新竹進行設點，為了要達成這個目標，需要資金、人力、以及空間， 因此期望結合新竹政策以及群眾募資的方式，以六年的計劃將屬於新竹的遊樂園設置起來， 其中 第一年是規劃及資源募集 第二年至五年進行實際執行 最後第六年進行試營運以及回饋修正 若本許願案讚加覆議超過100了話，當月內就聯繫嘖嘖募資來進行募資執行。","來新竹玩的人可以有地方可以好好享受新主美景及好天氣， 促季地方觀光同時帶動更多的人流前來新竹。",3,3
28,"房價與居住環境","高房價與租金： 新竹（特別是竹北）的房價和租金持續上漲，購屋和租屋的經濟壓力大。 居住品質差： 部分租屋處環境條件較差，可能存在違建、隔音不佳或潮濕等問題。","這是一個很好的延伸問題 👍 新竹的「高房價、租金高、居住品質差」確實是長年痛點。要「解決」或「改善」這些問題，可以從三個層面來看：政府政策、企業與地方發展、以及個人對策。以下是具體做法： --- 🏛 一、政府與都市規劃層面 1. 加速公共住宅與社會住宅建設 提供合理租金、品質穩定的住宅給年輕人與中產階層，降低市場壓力。 2. 區域均衡發展 將部分科技園區外溢至周邊地區（如竹南、湖口、頭份），減輕竹北與新竹市區的房價與交通壓力。 3. 改善交通基礎設施 拓寬主要道路、增設捷運或BRT系統，減少通勤時間，讓外圍地區變得可居。 4. 嚴格監管違建與租屋品質 建立租屋安全檢查制度，確保隔音、防潮、消防符合標準。 --- 🏢 二、企業與地方發展層面 1. 企業提供員工宿舍或租金補貼 科技公司可以提供合理租金的宿舍，或與地方政府合作建設員工社區。 2. 促進商圈與娛樂產業發展 增加休閒、娛樂、餐飲空間，讓「只有工作、沒有生活」的印象改變。 3. 鼓勵地方創生與文創產業 活化舊市區，吸引更多中小型商店與文化活動，提升生活機能與城市魅力。 --- 👩‍💼 三、個人對策 1. 考慮通勤居住模式 可選擇在竹南、湖口、頭份或苗栗居住，搭配開車或高鐵通勤，節省租金。 2. 合租或與同事共居 分攤房租與生活開銷，也能找到品質較好的住所。 3. 精準挑屋與長租談判 避開老舊違建區，長租可爭取租金折扣或設備升級。 4. 利用政府與企業補助 如青年租金補貼、租屋契約登錄優惠等政策。","願望是讓新竹從「只有工作」的城市，轉變為「宜居與幸福並重」的城市。透過改善高房價與租屋品質，發展交通與生活機能，讓市民能安心居住、平衡生活與工作，進而提升幸福感，促進社會公平與永續發展。",3,1
22,"新竹國際化永續示範平台","新竹市作為台灣半導體與科技重鎮，能源需求與碳排壓力龐大，但同時存在中小企業缺乏淨零工具、居民參與感不足、政策落地與社區連結有限等挑戰。這造成「政策有推動、企業卻難以落實、市民更難感受」的落差，也使得新竹無法充分展現其在國際淨零行動中的示範潛力。","數位工具：開發在地碳盤查與綠電交易工具，讓中小企業與社區能輕鬆參與。 共學參與：與大學合作，舉辦「社區－學校－企業」三方共創工作坊，培養永續人才。 國際連結：對標歐盟 CBAM 與國際標準（ISO、SBTi），將新竹經驗轉化為「地方創生 × 國際輸出」的示範模式。","短期目標是協助新竹在地中小企業與社區完成首波碳盤查與綠電合作，提升市民參與度。中期則打造「淨零共學示範區」，結合新竹的高教資源與產業聚落，成為政策落地的最佳實驗場。長期願景是輸出「新竹模式」，與國際科技城市交流，讓新竹成為台灣第一個兼具地方創生與國際示範意義的淨零城市。此舉不僅能降低在地碳排，更能凝聚市民、產業與政府共識，創造正向循環的社會影響力。",2,2
36,"能提供外縣市來新竹工作者更多的租屋補助","新竹缺工的問題 外縣市來新竹工作 房租或是很大的負擔","能夠給外縣市來新竹發展的人多一些租屋補助的申請","更多人會願意來新竹發展 缺工問題也不會那麼嚴重",1,1
38,"智慧共學社區","隨著新竹市進入高齡化社會，許多長者在退休後面臨社交孤立、數位落差與生活目標感降低等問題。 同時，新竹市作為科技重鎮，許多年輕家庭雙薪工作，導致孩童與祖父母的互動時間減少，世代之間的理解與連結逐漸減弱。 此外，許多長輩對於智慧手機、數位服務（如掛號App、行動支付、LINE群組）感到陌生，影響他們參與現代社會的便利生活。 而孩子雖熟悉科技，卻缺乏與長者互動的耐心與共情。這造成「科技城市裡的情感疏離」與「代間斷層」。","建立一個以「老幼互學」為核心的智慧共學社區，結合社區大學、國小與在地科技新創，打造一個雙向教學平台： 1. 空間規劃 利用社區活動中心、圖書館或學校閒置教室作為「共學站」。 設置可操作的科技角落（如平板、投影牆、智慧家電展示）。 2. 互學課程設計 長輩教小孩：傳統童玩、客家話、老照片故事、手工藝。 小孩教長輩：智慧手機使用、LINE通訊、網路查資料、AI繪圖工具。 每期課程結束後共同創作「代間共學成果牆」或短片。 3. 科技支援 與新竹新創公司合作，設計簡易App： 小朋友可為長輩設定「數位任務清單」（如拍照傳送今日天氣）。 長輩可回傳語音祝福、生活照片。 AI紀錄互動日誌，生成代間回憶相簿。 4. 社區連結 每季舉辦「共學成果展」與「世代共餐日」，邀請居民一起參與。 推動「1家1長輩」制度，鼓勵科技家庭定期關懷社區獨居長者。","1️⃣ 促進世代交流：讓老與幼之間重新建立理解、尊重與情感連結。 2️⃣ 縮小數位落差：幫助長者適應科技生活，享受智慧城市便利。 3️⃣ 打造學習型社區：讓學習不再分年齡，每個人都能成為他人的老師。 4️⃣ 延伸社會支持網絡：減少長者孤獨與兒童社交缺口，形成社區互助循環。 5️⃣ 結合科技與人情味：成為新竹「科技與溫度並存」的典範城市。",6,0
25,"住宅問題與居住負擔過高","新竹科技業聚集，人口快速湧入，導致房價與租金飆漲。 許多在地年輕人與外來就業族群面臨「高薪買不起房、低薪租不起房」的困境，甚至影響人才留任與社會結構。","推動青年與社會住宅：政府可加速興建或釋出更多社宅供應，並針對青年、首購族與新竹在地居民提供租金補貼。 建立租屋市場透明機制：如成立「租金實價登錄平台」，保障租客權益並防止不合理漲租。 公私協力住房計畫：與企業合作設立職員宿舍或共同居住空間（co-living），減輕通勤壓力與生活成本。","建立一個「人人都能安心居住」的城市，讓青年、家庭與外來人口都能在新竹安居樂業 透過政策與市場協作，使住宅市場更透明與公平，降低租屋與購屋壓力",1,0
33,"青年創業","青年創業貨款條件與方式，很多部份對於第1次創業的青年來說，很多條件難以達成。","政府多協助創業青年的諮詢與提供相關資料並與銀行溝通。","鼓勵青年創業增加地方特色，產業年輕化。",2,0
30,"使用者付費","金山街鄰近竹科，號稱竹科新手村，人口密集但停車位稀少，員警三天兩頭開單浪費警力，反而忽略巡邏保衛居民","金山街可新增機車停車格，解決警力反覆浪費在開單的問題，多巡邏維持居民安全","人民安心工作，警察專心保衛家園",0,0
27,"被冠上美食沙漠的城市","每次被詢問來新竹可以吃什麼 腦袋只有米粉貢丸遠東巨城","希望有更多好吃的東西進駐新竹 或在清大交大附近開店","可以引進更多觀光客跟填飽我對美食渴望的肚子",1,0
31,"斑馬線路口 燈光昏暗","新竹市多處行人斑馬線，無號誌之外，燈光也不夠明亮，駕駛往往快到斑馬線才發現有行人。","1. 加裝行人穿越號誌燈 2. 加強鄰近燈具 3. 加入行人等待區","1. 保護行人安全。 2. 減少不同交通族對立。 3. 維持社會秩序。",1,1
23,"守護「心」竹","新竹作為科技城，吸引許多人才進入高科技產業，但同時也存在著許多問題，像是工作壓力大導致身心靈的問題、職場上霸凌的問題導致不幸的憾事發生等等，希望在注重經濟發展的同時能兼顧身心靈健康及應受到該有的對待","1.廣設諮商服務在各大公司 2.設計一款通報平台，平常可在上面發洩心情，像是發文平台（讓有相同遭遇的人能互相聊聊，抒發情緒），上傳遭受不平等對待的證據（如line對話截圖等等），使用者同意後則直接通報勞工局","希望達到工作與生活平衡的目標，身心健康是身為人不可或缺的部分，提升平等社會，嚇阻職場霸凌的發生",0,0
35,"景點人流監測","六日人潮都集中在個大百貨","與百貨合作人流監控與車位監測","可以避免人潮過度聚集",1,0
40,"竹科通勤 E 指通：智慧化共乘與停車引導整合平台","新竹科學園區是新竹市的經濟命脈，但也帶來了嚴峻的交通壅塞問題。每日上下班尖峰時段，園區周邊道路幾乎癱瘓，造成大量的時間浪費、空氣污染與民怨。員工各自開車導致停車位不足，而公共運輸的「最後一哩路」接駁仍有待優化。","開發一個專為竹科通勤族設計的「竹科通勤 E 指通」App。 數據整合： 整合市府的即時交通路況、公車動態、以及園區各停車場的剩餘車位資訊。 智慧共乘媒合： 員工可輸入上下班時間與路線，系統會自動媒合順路的同事進行共乘。平台可引入評價與女性專用共乘選項，提高安全性與信任度。 停車即時引導： 針對自駕者，App 會根據目的地與即時車位數據，推薦最佳停車場，並直接導航，避免車輛在園區內無謂繞行。 綠色通勤獎勵： 與園區廠商合作，凡是透過 App 進行共乘或搭乘大眾運輸的員工，可累積「綠色積分」，兌換企業內部的福利（如：咖啡券、優先停車權）或市府提供的獎勵。","在平台上線一年後，希望能將透過 App 進行共乘的通勤比例提高 10%，並減少使用者平均 15% 的通勤時間。最終目標是緩解竹科的交通壓力，並推動更永續的通勤模式。 直接回應新竹市民最關切的交通問題，能有效降低尖峰時段的車流量與碳排放。此舉不僅能提升數萬名園區員工的生活品質，也能改善周邊居民的交通環境，更能展現新竹市作為一個「智慧城市」的治理能力與創新精神。",5,3
32,"「節能有獎，竹夢永續」——共築宜居新竹","新竹市以高科技產業聞名，但城市生活環境卻面臨「高耗能、低節能」的反差。 • 新竹市相當比例的住宅為老舊建物，隔熱與用電效率普遍不佳。 •新興社區與竹科周邊開發造成能源集中，形成熱島效應。 •市民與建商普遍認為綠建築成本高、回收慢，缺乏行動誘因。 結果導致新竹雖擁有「智慧城市」潛力，卻在永續生活與節能社區推動上落後，難以吸引青年長期定居。","以「青年創意＋社區行動＋政府獎勵」三管齊下，建立新竹特色的永續生活制度： 1️⃣ 綠建築獎勵制度升級： •新建案達綠建築標章（銀級以上），可獲容積或稅務獎勵。 •青年設計師、建築科系學生可參與「新竹綠建築共創營」，由市府與建商共同培育永續設計人才。 2️⃣ 社區節能行動賽： •舉辦「青年×社區節能挑戰賽」，鼓勵青年帶領社區居民執行節能提案（如智慧電表、綠植屋頂、社區共享太陽能）。 •成果以節能成效與創意呈現競賽，優勝團隊獲市府與企業補助。 3️⃣「竹綠點」App獎勵平台： •開發「竹綠點」行動平台，讓市民可記錄日常節能行為（減少冷氣、共享交通等），累積點數兌換地方店家折扣或公共服務優惠。 •同時作為青年志工與社區串聯的平台，形成綠生活網絡。","1.推動永續建築轉型：鼓勵建商導入綠建築設計與節能技術，逐步提升新竹市建築能源效率。 •目標：五年內新建案中至少三成取得綠建築標章。 2.促進社區節能行動：以「社區節能挑戰賽」及「青年節能輔導團」為核心，推動居民自發節能計畫。 •目標：五年內累計 50 個以上社區參與節能改造或競賽。 3.提升青年參與與行動力：建立青年與社區、企業合作的行動平台，讓青年能實際參與城市永續建設。 •目標：每年至少 1,000 名青年投入綠建築、節能或環境創意行動。 4.打造科技 × 永續示範城市：結合竹科企業、在地大學及社區力量，打造「科技城市轉向永續生活」的範例。 •目標：新竹成為全台首座以智慧節能與青年共創為特色的城市品牌。",40,39
41,"新竹市也要有綠地","居住在新竹市唯一有大面積稻田的地方，鄰近市中心交通還算便利，風景也很優美，夏天偶爾看得到螢火蟲。但面臨都更問題，恐怕未來這些稻田是再也見不到了，希望可以保留這些稻田，成為城市綠洲，讓這塊土地的不一樣成為新竹市的一種亮點。","與當地農民配合，對於農田系統性的管理，除了耕種之外，賦予新竹市居民就近到綠地放鬆，創造休閒農業的價值。","新竹市也可以有綠地、新的遊憩空間，不再是枯燥的新大樓建築、週末留不住人，或者都跑去巨城的地方。此外，可以讓新竹市民多一點跟土地的聯結，加深新竹市民的向心力。",1,0
55,"偏區長照解方","新竹市區的長照服務雖然資源逐漸增加，但在南香山、南寮、關東橋等較偏遠區域，仍存在明顯落差。這些地區不僅交通不便，醫療及居家照顧資源分布也較稀疏，使得高齡者與家屬在申請或獲得居服員服務時，往往面臨漫長等待與不確定性。長期下來，不僅影響長者的生活品質，也增加了家庭照顧者的壓力，形成照顧不均與社會支持不足的問題。","透過數位工具建立一套「長照量能監測平台」，數據回饋與預測：利用地理定位與數據，快速監測偏區需求與可支援的居服員。透過收集的服務需求與人力流動數據，提供政策與機構決策參考，改善偏區的長照規劃。","具體實的目標「找得到、看得到、用得到，在地安老」。縮短服務落差：偏遠地區長輩能在需要時快速獲得照顧，減少申請與等待的時間差。減輕家庭壓力：降低家屬因照顧資源不足而產生的負擔，提升家庭支持力。促進社會公平：不因地理位置不同而剝奪長輩的基本照顧權益，打造更均衡的照顧網絡。",12,11
52,"「Next Hsinchu：未來百貨 × 城市生活實驗基地」","新竹被稱為「科技首都」，但市民與外地旅客普遍反映生活娛樂選項貧乏。 * 主要消費與聚會地點集中在「巨城百貨」；其他區域的商圈吸引力低。 * 年輕人、家庭族群及外地遊客缺乏假日出遊的多元選擇。 * 新創品牌與地方文化缺乏展示與交流平台。 結果：新竹成為「適合工作，不適合生活」的城市代表。","打造一座不只是逛街的百貨，而是「生活×創意×科技」的空間 ：Next Hsinchu 未來百貨 空間規劃｜ 1. Future Hall（未來實驗區） 展示AI、VR、智慧家電、電動車等最新科技產品，開放試用與互動。 2. Maker Market（創客市集） 給在地創業者、小品牌、設計師、學生團隊短期進駐的快閃空間。 3.Taste Lab（味覺實驗室） 集合新竹在地食材 × 創新料理的餐飲品牌，打造「竹科員工的午餐天堂」。 4. Sky Park（天際綠地） 頂樓設計為綠色公共空間，結合音樂表演、戶外電影與市集活動。 5. Art Loop（藝術步道） 建築內部串連在地藝術家與新媒體藝術展覽。","1. 提升城市吸引力：讓新竹成為北部地區週末出遊新據點。 2. 培育地方創新生態：成為新創品牌與學生團隊的展示平台。 3. 促進商業與文化共榮：整合科技、藝術、生活，創造多元商機。",45,42
47,"建造青年學習館","多元教育及社會高物價下,許多青年已經漸漸轉變成躺平族","提供青年多元學習的場所,多加嘗試各領域學習","提升自我價值,創造競爭力",2,2
